站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區
農業試驗所,27.6,35,22.5,88.7,342.14,1999,7,台中市
桃園農改,*28.1,*34.1,*23.3,*164.8,*375.96,1999,8,桃園市
五峰站,21.7,28.9,18.3,151.9,443.93,1999,8,新竹縣
台中農改,27.8,35.6,23.2,253.3,408.28,1999,8,台中市
雲林分場,27.3,36,22.5,186.3,425.71,1999,8,雲林縣
義竹分場,27.4,35.7,23,,551.31,1999,8,嘉義縣
高雄農改,27.2,34,23,166.4,358.02,1999,8,屏東縣
斑鳩分場,25.6,33.4,20.9,135.7,328.87,1999,8,台東縣
花蓮農改,27.3,33.8,21.9,106.8,310.33,1999,8,花蓮縣
蘭陽分場,27.8,35.1,22.5,215.7,579.38,1999,8,宜蘭縣
茶改場,27,34.6,22.6,209.8,471.61,1999,8,桃園市
畜試所,27.2,35.2,22.8,167.6,337.61,1999,8,臺南市
恆春畜試,*27.7,*32.7,*23.8,*139.8,*513.14,1999,8,屏東縣
農業試驗所,27.4,35.5,22.5,172.2,414.29,1999,8,台中市
苗栗農改,27.5,34.7,22.8,,582.67,1999,8,苗栗縣
臺大溪頭,19.6,26.2,14.5,,279.58,1999,8,南投縣
桃園農改,27.1,33.6,19.1,218.1,427.17,1999,9,桃園市
五峰站,20.8,30.1,14,101.7,312.08,1999,9,新竹縣
台中農改,27.5,34.2,20.6,226.7,352.9,1999,9,台中市
雲林分場,27,34.3,19.5,171.2,383.85,1999,9,雲林縣
義竹分場,27.4,34.1,19,,518.76,1999,9,嘉義縣
高雄農改,27,34.5,21.3,139,322.17,1999,9,屏東縣
斑鳩分場,24.9,32.2,19.4,115.6,276.91,1999,9,台東縣
花蓮農改,26.4,33.1,21.7,94,306.32,1999,9,花蓮縣
蘭陽分場,,,,*184.6,,1999,9,宜蘭縣
茶改場,26.2,33.4,17.9,187.4,388.5,1999,9,桃園市
畜試所,27.1,34.3,19.4,142.8,365.26,1999,9,臺南市
恆春畜試,*27.0,*32.4,*22.0,144.1,461.33,1999,9,屏東縣
農業試驗所,27.5,35.2,18.8,122.7,,1999,9,台中市
苗栗農改,27.1,39.1,20.2,,451.1,1999,9,苗栗縣
臺大溪頭,*19.4,*26.1,*12.0,,*211.72,1999,9,南投縣
桃園農改,,,,,,1999,10,桃園市
茶改場,23.6,33.3,17.1,146.2,321.8,1999,10,桃園市
五峰站,19.3,26.8,13.7,103.6,322.66,1999,10,新竹縣
苗栗農改,24.6,37.1,17.3,,375.98,1999,10,苗栗縣
農業試驗所,27,38.7,19.4,105,318.27,1999,10,台中市
臺中農改,25.4,35.2,19,202.2,299.79,1999,10,彰化縣
臺大溪頭,18.3,24.4,14,,248.04,1999,10,南投縣
雲林分場,24.9,33,18.5,121.8,320.44,1999,10,雲林縣
義竹分場,25.2,33.3,18.7,,444.45,1999,10,嘉義縣
畜試所,25.5,35.1,18.8,120.2,285.24,1999,10,臺南市
恆春畜試,26.3,31.1,22.1,187.1,481.91,1999,10,屏東縣
高雄農改,26.2,33.1,21.4,114.9,264.83,1999,10,屏東縣
蘭陽分場,*23.5,*32.1,*18.6,,*204.92,1999,10,宜蘭縣
花蓮農改,24.4,31.5,17.8,70.7,345.59,1999,10,花蓮縣
斑鳩分場,23.3,30.6,18.5,95.4,241.18,1999,10,台東縣
桃園農改,20.4,30,14,129.3,245.72,1999,11,桃園市
五峰站,15.6,23.5,7.9,104.8,264.42,1999,11,新竹縣
台中農改,22,30.5,14.9,185.6,250.04,1999,11,台中市
雲林分場,21.2,30.4,12.8,147.7,284.53,1999,11,雲林縣
義竹分場,22,30.9,13.6,,405.21,1999,11,嘉義縣
高雄農改,23.9,31.8,16.5,129.5,241.58,1999,11,屏東縣
斑鳩分場,20.6,29.3,14,67,188.57,1999,11,台東縣
花蓮農改,21.4,33.1,16.5,57.4,230.81,1999,11,花蓮縣
蘭陽分場,20.2,28.2,15,67,192.81,1999,11,宜蘭縣
茶改場,*19.3,*27.2,*12.9,119.6,*212.51,1999,11,桃園市
畜試所,22.3,31.8,14.3,117.1,258.41,1999,11,臺南市
恆春畜試,24.1,30,18.3,162.4,415.24,1999,11,屏東縣
農業試驗所,23,35.9,14,118.8,260.35,1999,11,台中市
苗栗農改,20.5,29.3,12.3,,349.57,1999,11,苗栗縣
臺大溪頭,15.4,21.8,8.8,,208.89,1999,11,南投縣
桃園農改,16.4,26.3,6.3,75.5,171.79,1999,12,桃園市
五峰站,11.5,22.5,0,*65.1,197.24,1999,12,新竹縣
台中農改,17.2,28.4,5.1,134.8,195.83,1999,12,台中市
雲林分場,17,27.2,3.9,93.9,234.01,1999,12,雲林縣
義竹分場,17.1,27.4,4.3,,319.23,1999,12,嘉義縣
高雄農改,19.5,28.8,6.1,91.5,203.09,1999,12,屏東縣
斑鳩分場,17.7,27.4,7.8,55,165.63,1999,12,台東縣
花蓮農改,19,35.1,6.6,*32.7,191.21,1999,12,花蓮縣
蘭陽分場,16.4,28,7,27,126.35,1999,12,宜蘭縣
茶改場,15.2,25.9,4.8,74.2,173.92,1999,12,桃園市
畜試所,17.5,27.7,4.1,75.6,205.41,1999,12,臺南市
恆春畜試,21.4,27.7,13.7,122.9,334.43,1999,12,屏東縣
農業試驗所,16.9,27.7,2.3,77.5,207.58,1999,12,台中市
苗栗農改,15.7,27.4,3.6,,225.02,1999,12,苗栗縣
臺大溪頭,12.2,21.7,0.1,,200.03,1999,12,南投縣
桃園農改,15.5,26.7,8.7,111.6,196.06,2000,1,桃園市
茶改場,14.9,26.7,6.8,102.7,168.04,2000,1,桃園市
五峰站,11.5,22.2,1.5,98.6,234.7,2000,1,新竹縣
苗栗農改,15.3,27.3,6,,255.63,2000,1,苗栗縣
農業試驗所,16.9,28.7,8.9,34.7,256.39,2000,1,台中市
臺中農改,16.6,28,7.8,167.3,230.94,2000,1,彰化縣
臺大溪頭,11.8,20.1,5.1,,231.01,2000,1,南投縣
雲林分場,16.3,28.5,7.5,127.5,318.85,2000,1,雲林縣
義竹分場,17.3,28.4,10.45,,369.32,2000,1,嘉義縣
畜試所,17.2,29.9,7.4,118.2,246.2,2000,1,臺南市
恆春畜試,21.4,29.2,15.3,187.7,434.35,2000,1,屏東縣
高雄農改,19.5,31,9.6,148,261.91,2000,1,屏東縣
蘭陽分場,16.9,26.6,8.6,92.6,205.52,2000,1,宜蘭縣
花蓮農改,18.1,26.6,10,60.3,224.55,2000,1,花蓮縣
斑鳩分場,17.7,27,10.2,80.5,190.81,2000,1,台東縣
桃園農改,14.9,24.7,10.6,47.2,143.93,2000,2,桃園市
茶改場,14.7,28.4,8.7,127.8,66.54,2000,2,桃園市
五峰站,11.4,23.4,3.5,36.7,161.31,2000,2,新竹縣
苗栗農改,14.8,27.8,9.5,,184.98,2000,2,苗栗縣
農業試驗所,16.6,26.6,10.9,80.3,207.48,2000,2,台中市
臺中農改,15.9,25.3,10.5,116.4,188.91,2000,2,彰化縣
臺大溪頭,14.2,25.6,6.6,,200.52,2000,2,南投縣
雲林分場,15.9,27.4,9.4,85.6,258.33,2000,2,雲林縣
義竹分場,16.2,28.8,8.8,,301.44,2000,2,嘉義縣
畜試所,17,29.5,8.5,161.85,212.3,2000,2,臺南市
恆春畜試,21.3,29.1,15.4,146.7,409.79,2000,2,屏東縣
高雄農改,19.9,30.5,12.3,89.7,235.17,2000,2,屏東縣
蘭陽分場,15.9,27.4,11.2,22,128.28,2000,2,宜蘭縣
花蓮農改,17.3,26.7,11.9,23.7,177.37,2000,2,花蓮縣
斑鳩分場,17.4,31,11.2,40.8,156.71,2000,2,台東縣
桃園農改,16.4,27.3,11.3,72.1,237.25,2000,3,桃園市
五峰站,14.6,25.7,8.7,99.9,302.11,2000,3,新竹縣
台中農改,18.2,29.4,13.4,194.2,306.44,2000,3,台中市
雲林分場,18.4,29,12.8,151.75,391.76,2000,3,雲林縣
義竹分場,18.8,29.7,13.4,,492.84,2000,3,嘉義縣
高雄農改,23,31,15.6,,325.68,2000,3,屏東縣
斑鳩分場,19.5,28.9,13.4,68.1,209.4,2000,3,台東縣
花蓮農改,19.7,28.3,13.4,73,272.29,2000,3,花蓮縣
蘭陽分場,18.8,27.9,13.3,73.2,259.46,2000,3,宜蘭縣
茶改場,17.2,32.6,11.2,94.25,95.12,2000,3,桃園市
畜試所,19.9,30.7,14.1,132.7,347.74,2000,3,臺南市
恆春畜試,23.2,29.5,17.7,181.5,522.94,2000,3,屏東縣
農業試驗所,19.2,28.8,14,83.1,319.06,2000,3,台中市
苗栗農改,19.25,32.65,9.75,,,2000,3,苗栗縣
臺大溪頭,14.6,23.4,8.3,,273.1,2000,3,南投縣
桃園農改,21.35,30.35,14.3,105.25,306.64,2000,4,桃園市
五峰站,17.3,26.8,9.3,77.3,265.53,2000,4,新竹縣
台中農改,22.7,30.7,14.4,158.5,281.56,2000,4,台中市
雲林分場,22.8,32.7,12.9,110.8,350.09,2000,4,雲林縣
義竹分場,23.3,,,,,2000,4,嘉義縣
高雄農改,25.4,32.6,17.9,142.3,350.84,2000,4,屏東縣
斑鳩分場,21.8,35.5,13.4,54.9,212.57,2000,4,台東縣
花蓮農改,22,29.6,14.9,15.3,281.82,2000,4,花蓮縣
蘭陽分場,21.2,30.1,14.9,,305.24,2000,4,宜蘭縣
茶改場,20.7,34.1,13,52.3,296.595,2000,4,桃園市
畜試所,24.05,34,15.6,140.7,349.47,2000,4,臺南市
恆春畜試,25.4,32.6,18.7,166.5,561.39,2000,4,屏東縣
農業試驗所,22.7,30.4,13.8,116.6,272.87,2000,4,台中市
苗栗農改,*21.0,*30.0,*11.6,,*262.64,2000,4,苗栗縣
臺大溪頭,17.2,24.6,6.4,,259.71,2000,4,南投縣
茶改場,24.8,37,16.7,108.65,,2000,5,桃園市
桃園農改,23.85,31.35,16.7,84,335.115,2000,5,桃園市
五峰站,19.7,29,14.2,137.9,409.09,2000,5,新竹縣
苗栗農改,24.5,33.4,17.3,,521.96,2000,5,苗栗縣
台中農改,25.5,34.2,18.9,245.6,390.06,2000,5,台中市
臺大溪頭,18.4,24.9,12.2,,304.23,2000,5,南投縣
雲林分場,25.2,34.7,18,177.7,431.1,2000,5,雲林縣
義竹分場,25.8,33.2,19.4,,565.12,2000,5,嘉義縣
畜試所,26.3,36.5,18.9,155.4,375.26,2000,5,臺南市
高雄農改,26.8,35.2,20.7,139.8,357.94,2000,5,屏東縣
恆春畜試,26.5,32.9,20.5,111.8,561.99,2000,5,屏東縣
蘭陽分場,23.9,32.9,16.8,,445.36,2000,5,宜蘭縣
花蓮農改,24,32.4,16.7,81.1,387.15,2000,5,花蓮縣
斑鳩分場,23.2,34.7,16,83.3,282.85,2000,5,台東縣
農業試驗所,25.3,34.1,18.5,136.1,406.86,2000,5,台中市
茶改場,26.3,33.7,15.5,198.8,449.85,2000,6,桃園市
桃園農改,27.8,35.4,17.8,174.9,445.38,2000,6,桃園市
五峰站,21.7,30.1,12.2,139.9,427.19,2000,6,新竹縣
苗栗農改,26.9,34.1,16.4,,544.34,2000,6,苗栗縣
台中農改,27.7,34.8,17.8,233.8,396.89,2000,6,台中市
臺大溪頭,20,26.9,15.7,,323.15,2000,6,南投縣
雲林分場,27.3,36.2,17.6,182.6,421.22,2000,6,雲林縣
義竹分場,28,34.7,18.4,,576.45,2000,6,嘉義縣
畜試所,28,36.1,19.2,190,384.51,2000,6,臺南市
高雄農改,28.5,35.5,20.8,,412.79,2000,6,屏東縣
恆春畜試,28,33.4,20.6,137.4,600.55,2000,6,屏東縣
蘭陽分場,26.9,34.9,18.2,,518.21,2000,6,宜蘭縣
花蓮農改,27,33.3,18.8,111.1,511.27,2000,6,花蓮縣
斑鳩分場,26.1,35.7,17.5,139,360.61,2000,6,台東縣
農業試驗所,27.2,35.4,18.4,129.7,394.1,2000,6,台中市
茶改場,27.6,34.3,22.3,210.3,474.75,2000,7,桃園市
桃園農改,28.3,34.3,22.6,204.1,513.91,2000,7,桃園市
五峰站,22.6,31.2,17.9,150.8,461.31,2000,7,新竹縣
苗栗農改,27.8,36.4,22.1,,524.04,2000,7,苗栗縣
台中農改,28.4,35,22.7,233.1,400.69,2000,7,台中市
臺大溪頭,20.4,27.3,16.4,,322.84,2000,7,南投縣
雲林分場,27.6,35.2,22.6,145.5,398.34,2000,7,雲林縣
義竹分場,28,35.6,23.5,,514.97,2000,7,嘉義縣
畜試所,27.4,34.9,21.8,128.7,324.64,2000,7,臺南市
高雄農改,27.6,36.9,23.4,114.6,322.16,2000,7,屏東縣
恆春畜試,27.8,33.3,23.7,104.7,488.97,2000,7,屏東縣
蘭陽分場,27.8,34.8,22.4,,602.44,2000,7,宜蘭縣
花蓮農改,27.6,33.9,22.8,124,579.67,2000,7,花蓮縣
斑鳩分場,26.2,36,21.4,125.2,356.93,2000,7,台東縣
農業試驗所,28.4,38.2,22.6,113.9,383.59,2000,7,台中市
桃園農改,27.8,36.5,23.4,189.8,430,2000,8,桃園市
茶改場,26.8,35.7,22.3,175.7,394.19,2000,8,桃園市
五峰站,21.6,29,18,117.7,369.61,2000,8,新竹縣
苗栗農改,27.1,33.8,21.9,,480.46,2000,8,苗栗縣
農業試驗所,28.2,37.8,23.5,132.2,368.37,2000,8,台中市
臺中農改,27.7,34.3,23.5,222.5,372.96,2000,8,彰化縣
臺大溪頭,20.7,30.8,10.4,,274.19,2000,8,南投縣
雲林分場,27,34.9,22.4,163.4,381.66,2000,8,雲林縣
義竹分場,27.4,34.3,23.3,,501.37,2000,8,嘉義縣
畜試所,27.2,34.5,22.4,155.7,341.76,2000,8,臺南市
恆春畜試,27.9,32.7,23.4,146,558.59,2000,8,屏東縣
高雄農改,27.1,35,22.5,143.4,329.42,2000,8,屏東縣
蘭陽分場,27.5,34.8,23.1,168.8,503.82,2000,8,宜蘭縣
花蓮農改,27.5,34.7,22.9,151.8,530.76,2000,8,花蓮縣
斑鳩分場,26.1,33.4,21.5,146.1,346.95,2000,8,台東縣
桃園農改,25.9,33.3,18.7,197,385.65,2000,9,桃園市
五峰站,20,28,15.1,122,362.09,2000,9,新竹縣
台中農改,26.8,36.9,21.2,245.2,372.69,2000,9,台中市
雲林分場,26.3,34.8,20,181.3,406.54,2000,9,雲林縣
義竹分場,26.9,34.1,20,,552.11,2000,9,嘉義縣
高雄農改,27.1,33.2,21.3,126.4,314.47,2000,9,屏東縣
斑鳩分場,24.8,32.4,18.7,120.7,282.13,2000,9,台東縣
花蓮農改,26.1,32.8,20.4,89.25,405.87,2000,9,花蓮縣
蘭陽分場,26,33.6,20.7,149,447.09,2000,9,宜蘭縣
茶改場,25.1,33,19.2,174.7,377.94,2000,9,桃園市
畜試所,26.8,34.1,21,151,352.4,2000,9,臺南市
恆春畜試,27.3,32.2,21.6,228.5,601.28,2000,9,屏東縣
農業試驗所,27.5,36.9,20,121.5,392.45,2000,9,台中市
苗栗農改,25.4,33.1,18.9,,463.13,2000,9,苗栗縣
臺大溪頭,18.8,25.7,12.8,,285.7,2000,9,南投縣
茶改場,23.7,32,16.7,144.4,295.84,2000,10,桃園市
桃園農改,24.6,33.5,18.5,154.8,304.7,2000,10,桃園市
五峰站,19.5,26.6,13,114.3,335.05,2000,10,新竹縣
苗栗農改,23.75,33.9,16.7,,413.98,2000,10,苗栗縣
台中農改,25.7,32.8,19.8,223.8,329.72,2000,10,台中市
臺大溪頭,19,25.2,14.5,,230.66,2000,10,南投縣
雲林分場,25.3,33.9,18.7,151.9,355.6,2000,10,雲林縣
義竹分場,25.8,33.6,18.8,,477.31,2000,10,嘉義縣
畜試所,26.1,33.8,19.3,113.8,308.96,2000,10,臺南市
高雄農改,27.1,34.1,21.9,121.4,274.34,2000,10,屏東縣
恆春畜試,27,32.4,21.9,216.9,524.04,2000,10,屏東縣
蘭陽分場,24.5,32.1,18.5,92.9,298.6,2000,10,宜蘭縣
花蓮農改,25.2,31.7,18.9,117.7,370.5,2000,10,花蓮縣
斑鳩分場,24.4,31.9,18.5,131.4,273.57,2000,10,台東縣
農業試驗所,25.7,33.9,19.5,159.1,359.75,2000,10,台中市
茶改場,20.3,29.7,12.4,107.5,220.3,2000,11,桃園市
桃園農改,,,,,,2000,11,桃園市
五峰站,17.1,25.6,8.5,76.1,278.05,2000,11,新竹縣
苗栗農改,20.9,30.4,14,,278.19,2000,11,苗栗縣
台中農改,22.1,31.3,15.6,154.3,219.65,2000,11,台中市
臺大溪頭,17.1,24.5,10.7,,253.79,2000,11,南投縣
雲林分場,21.8,31.5,15.1,72.2,231.69,2000,11,雲林縣
義竹分場,22.1,30.1,15.2,,337.98,2000,11,嘉義縣
畜試所,22.6,31,15.9,82.1,232.04,2000,11,臺南市
高雄農改,24.3,31.5,17.8,115.2,242.07,2000,11,屏東縣
恆春畜試,25.6,31.4,20.1,182.6,440.73,2000,11,屏東縣
蘭陽分場,21,29.3,14.9,29.2,144.36,2000,11,宜蘭縣
花蓮農改,22.6,29.7,17,61.6,244.64,2000,11,花蓮縣
斑鳩分場,22.4,32.1,16.1,98,223.17,2000,11,台東縣
農業試驗所,22.4,31.9,15.3,77.5,243.43,2000,11,台中市
茶改場,17.8,26.3,10.6,119.6,203.07,2000,12,桃園市
桃園農改,18.8,26.5,13.2,128.5,210.01,2000,12,桃園市
五峰站,14.1,24,3.6,114.9,257.37,2000,12,新竹縣
苗栗農改,16.15,27.85,3.4,,252.82,2000,12,苗栗縣
台中農改,19.3,27.5,12.8,188.8,243.65,2000,12,台中市
臺大溪頭,14.2,23.1,6.4,,250.88,2000,12,南投縣
雲林分場,19,28.1,11.5,126.9,264.15,2000,12,雲林縣
義竹分場,19.4,27.9,12.4,,379.32,2000,12,嘉義縣
畜試所,19.9,29,12.6,99.3,231.06,2000,12,臺南市
高雄農改,21.8,30.8,15.3,116.1,227.49,2000,12,屏東縣
恆春畜試,23.4,31.6,17.6,128.7,347.42,2000,12,屏東縣
蘭陽分場,18.7,27,13.6,27.4,135.25,2000,12,宜蘭縣
花蓮農改,20.2,28.5,13.5,66.1,232.45,2000,12,花蓮縣
斑鳩分場,17.95,27.9,7.9,69.35,174.125,2000,12,台東縣
農業試驗所,19.5,29,11.2,133.8,255.86,2000,12,台中市
桃園農改,16.7,30.2,8.6,127.6,216.29,2001,1,桃園市
茶改場,15.4,25.4,8.2,111.5,220.1,2001,1,桃園市
五峰站,12.1,21.2,2.8,118.4,274.35,2001,1,新竹縣
苗栗農改,,,,,,2001,1,苗栗縣
農業試驗所,17.2,29.8,9.1,137.3,258.84,2001,1,台中市
臺中農改,16.9,27.4,9.6,188.9,246.94,2001,1,彰化縣
臺大溪頭,12.3,22.5,5.1,,241.51,2001,1,南投縣
雲林分場,16.7,28,8.4,150.2,294.97,2001,1,雲林縣
義竹分場,17.3,28.7,9.7,,394.57,2001,1,嘉義縣
畜試所,17.8,29.6,9.2,132.2,251.41,2001,1,臺南市
恆春畜試,21.8,28.8,16.5,179.6,423.57,2001,1,屏東縣
高雄農改,20.3,29.6,12.5,157.4,262.64,2001,1,屏東縣
蘭陽分場,17.2,25.9,10.4,83,224.05,2001,1,宜蘭縣
花蓮農改,18.2,26.2,10.9,85.8,252.13,2001,1,花蓮縣
斑鳩分場,17.6,29,9.7,91.4,184.61,2001,1,台東縣
茶改場,15.8,28.4,9.1,129.3,240.71,2001,2,桃園市
桃園農改,17.6,33.3,11,105.6,208.22,2001,2,桃園市
五峰站,13.3,25.3,3,95.4,273.05,2001,2,新竹縣
苗栗農改,17.4,33.9,7.9,,294.71,2001,2,苗栗縣
台中農改,17.9,28.4,11.4,186.8,268.05,2001,2,台中市
臺大溪頭,13.9,23.4,6.9,,275.25,2001,2,南投縣
雲林分場,18,29.8,9.8,158.2,303.74,2001,2,雲林縣
義竹分場,18.3,30.6,10,,417.83,2001,2,嘉義縣
畜試所,18.9,31.1,10.7,138.7,277.22,2001,2,臺南市
高雄農改,21.1,31,13.6,136.2,277.48,2001,2,屏東縣
恆春畜試,22.3,29.7,15.8,161.4,429.53,2001,2,屏東縣
蘭陽分場,17.6,27.8,10.8,71.6,235.74,2001,2,宜蘭縣
花蓮農改,18.6,27.7,11.8,62.5,233.6,2001,2,花蓮縣
斑鳩分場,18.6,29.1,11.5,83.2,199.29,2001,2,台東縣
農業試驗所,18.6,29.7,11.7,135.7,281.27,2001,2,台中市
