Num,Sex,Age,Job,Salery,Merry,Place,Transportation,drinks,price,delivery habits
798,Man,20,Freelance,38000,FALSE,Beitou,MRT,Guiji,35,Yes
885,women,20,service,40000,FALSE,Nangang,Bus,WooTea,55,No
919,women,20,service,46500,FALSE,Datong,Bus,Ching-Shin Fu-Chuan,60,Yes
921,Man,20,staff,35000,FALSE,Wanhua,Scooter,50 Arashi,40,No
938,Man,20,Worker,34000,TRUE,Da’an,Bus,KEBUKE,45,No
954,Man,20,engineer,42500,FALSE,Zhongshan,MRT,Chunshuitang,55,No
957,women,20,staff,29000,FALSE,Neihu,Bus,OtherTeaShop,40,Yes
56,Man,21,Worker,29000,TRUE,Da’an,Scooter,OtherTeaShop,45,Yes
60,Man,21,staff,45000,FALSE,Wenshan,Scooter,Wanpo,45,No
113,Man,21,Worker,31500,FALSE,Zhongzheng,Bus,JOHN TEA COMPANY,45,Yes
123,Man,21,student,19000,FALSE,Wenshan,Bus,CoCo,70,Yes
125,Man,21,sales,34000,FALSE,Wenshan,Scooter,Ching-Shin Fu-Chuan,45,Yes
165,Man,21,engineer,38500,FALSE,Wanhua,Scooter,OtherTeaShop,60,No
176,women,21,student,27500,FALSE,Datong,Bus,WooTea,55,Yes
194,women,21,service,54000,FALSE,Xinyi,drive,WooTea,55,No
208,women,21,staff,29500,FALSE,Da’an,MRT,WooTea,45,No
210,Man,21,staff,32000,TRUE,Zhongshan,Scooter,CoCo,35,No
240,Man,21,engineer,45500,TRUE,Zhongzheng,MRT,50 Arashi,60,Yes
255,Man,21,financial,45000,FALSE,Zhongshan,drive,Guiji,60,No
279,Man,21,sales,50000,TRUE,Shilin,Scooter,50 Arashi,60,No
300,women,21,staff,28500,FALSE,Beitou,MRT,Tenren's Tea,45,No
318,women,21,service,33500,TRUE,Wenshan,Bus,50 Arashi,70,No
327,women,21,staff,32000,TRUE,Xinyi,Scooter,KEBUKE,70,No
368,women,21,service,28500,TRUE,Wenshan,drive,JOHN TEA COMPANY,70,No
374,women,21,staff,42500,FALSE,Xinyi,Scooter,JOHN TEA COMPANY,60,No
460,Man,21,Freelance,33000,TRUE,Wanhua,Scooter,Guiji,65,No
554,women,21,staff,31500,TRUE,Zhongzheng,Bus,Tenren's Tea,60,No
570,Man,21, lawyer,49000,FALSE,Datong,MRT,Wanpo,60,No
604,Man,21,staff,34500,TRUE,Neihu,Bus,50 Arashi,35,No
613,women,21,sales,34000,FALSE,Neihu,Scooter,KEBUKE,65,Yes
647,women,21,Worker,35000,TRUE,Zhongshan,Scooter,Ching-Shin Fu-Chuan,50,No
674,women,21,staff,65000,FALSE,Beitou,MRT,Ching-Shin Fu-Chuan,65,No
715,women,21, retail,49000,FALSE,Neihu,drive,Tenren's Tea,50,No
730,women,21,service,36000,TRUE,Shilin,Scooter,OtherTeaShop,50,Yes
742,Man,21,staff,46000,TRUE,Wenshan,MRT,Ching-Shin Fu-Chuan,60,No
789,women,21,engineer,39500,TRUE,Xinyi,Scooter,Ching-Shin Fu-Chuan,45,No
940,women,21,staff,26000,TRUE,Datong,Bus,CoCo,40,Yes
949,women,21,staff,43000,FALSE,Zhongshan,MRT,Ching-Shin Fu-Chuan,55,No
1000,women,21,engineer,32000,TRUE,Wenshan,MRT,Guiji,70,Yes
48,Man,22,sales,49500,TRUE,Wenshan,Bus,WooTea,60,Yes
68,women,22,staff,32500,TRUE,Nangang,MRT,JOHN TEA COMPANY,55,No
105,women,22,staff,45500,FALSE,Zhongshan,MRT,Tenren's Tea,60,No
108,women,22,student,30000,TRUE,Wenshan,Bus,OtherTeaShop,70,Yes
110,Man,22,engineer,32500,FALSE,Neihu,MRT,Tenren's Tea,50,No
139,women,22,Market,59500,FALSE,Wenshan,Bus,KEBUKE,55,No
163,women,22,staff,67500,TRUE,Xinyi,Scooter,Wanpo,45,No
168,Man,22,staff,41500,TRUE,Beitou,MRT,CoCo,50,No
207,women,22,financial,31500,FALSE,Neihu,Bus,OtherTeaShop,70,No
249,women,22, retail,48500,FALSE,Xinyi,Bus,OtherTeaShop,50,No
262,women,22,financial,45500,FALSE,Zhongshan,Scooter,WooTea,45,No
293,Man,22,financial,60500,FALSE,Wenshan,drive,CoCo,70,No
340,Man,22,staff,33500,FALSE,Beitou,Scooter,TRUEDAN,65,No
344,women,22,staff,59000,FALSE,Da’an,Bus,OtherTeaShop,55,No
417,Man,22,staff,47000,FALSE,Xinyi,Scooter,KEBUKE,55,Yes
421,Man,22,staff,48500,TRUE,Shilin,drive,Ching-Shin Fu-Chuan,35,Yes
432,women,22,Market,59000,FALSE,Neihu,MRT,TRUEDAN,60,No
433,Man,22,engineer,31500,FALSE,Zhongshan,MRT,WooTea,70,No
449,women,22,staff,45500,FALSE,Zhongshan,Scooter,Guiji,50,No
499,women,22,staff,35500,TRUE,Wanhua,drive,WooTea,40,No
511,women,22,financial,50000,FALSE,Datong,Scooter,CoCo,50,No
565,women,22,Freelance,50000,FALSE,Da’an,Bus,Tenren's Tea,60,Yes
606,Man,22,engineer,30000,FALSE,Nangang,Bus,Wanpo,70,No
625,women,22,teacher,42000,FALSE,Nangang,Bus,50 Arashi,35,No
646,women,22,engineer,37000,FALSE,Shilin,Scooter,Tenren's Tea,60,Yes
652,women,22,sales,48000,TRUE,Da’an,Scooter,Guiji,65,Yes
729,women,22,staff,52000,FALSE,Datong,Scooter,KEBUKE,60,No
738,women,22,police,34000,TRUE,Nangang,Bus,Chunshuitang,40,No
752,women,22,staff,28500,FALSE,Da’an,Bus,Chunshuitang,70,Yes
771,Man,22,student,15500,FALSE,Datong,Bus,Guiji,45,Yes
796,women,22,engineer,40000,TRUE,Zhongzheng,MRT,JOHN TEA COMPANY,50,No
848,Man,22, lawyer,34500,FALSE,Beitou,Scooter,TRUEDAN,65,Yes
852,women,22,staff,37000,FALSE,Da’an,Scooter,KEBUKE,70,No
857,women,22,staff,63000,TRUE,Nangang,Scooter,KEBUKE,45,No
862,Man,22,student,24000,FALSE,Wenshan,MRT,Guiji,45,No
865,Man,22,service,21500,FALSE,Songshan,MRT,TRUEDAN,50,No
939,women,22,service,42000,FALSE,Wenshan,Scooter,Guiji,50,Yes
952,Man,22,staff,34500,FALSE,Beitou,drive,Wanpo,65,Yes
961,women,22,staff,34000,FALSE,Zhongzheng,Scooter,WooTea,65,Yes
33,Man,23,staff,35000,FALSE,Wenshan,Bus,Ching-Shin Fu-Chuan,60,No
50,Man,23,staff,49000,FALSE,Shilin,Bus,50 Arashi,45,Yes
89,Man,23,financial,33500,TRUE,Shilin,Bus,WooTea,70,No
177,Man,23,financial,31000,TRUE,Zhongzheng,Scooter,CoCo,60,No
179,women,23,student,29000,FALSE,Datong,Bus,Wanpo,45,No
220,Man,23,sales,34000,TRUE,Zhongshan,Bus,Wanpo,70,Yes
234,women,23,staff,36500,FALSE,Datong,MRT,WooTea,65,No
276,Man,23,staff,53500,FALSE,Zhongzheng,Scooter,Tenren's Tea,70,Yes
383,women,23,engineer,32500,FALSE,Neihu,Bus,Ching-Shin Fu-Chuan,45,Yes
394,women,23,Market,39000,FALSE,Songshan,Scooter,Guiji,35,No
407,women,23,staff,31000,FALSE,Songshan,Scooter,50 Arashi,55,No
415,women,23,staff,40500,FALSE,Zhongzheng,Bus,CoCo,50,No
445,Man,23,staff,42500,FALSE,Shilin,MRT,Wanpo,40,Yes
451,Man,23,engineer,59000,TRUE,Nangang,MRT,Chunshuitang,40,Yes
483,Man,23,Worker,51000,TRUE,Beitou,MRT,Chunshuitang,35,No
484,Man,23,staff,31000,FALSE,Shilin,MRT,50 Arashi,65,Yes
651,women,23,Market,44500,TRUE,Shilin,Scooter,50 Arashi,65,Yes
664,women,23,sales,42500,TRUE,Nangang,Bus,TRUEDAN,35,Yes
682,women,23,Worker,39000,FALSE,Neihu,Scooter,CoCo,65,Yes
687,Man,23,teacher,50000,TRUE,Xinyi,Scooter,WooTea,70,No
694,women,23,service,36500,FALSE,Xinyi,Scooter,OtherTeaShop,65,No
753,women,23,staff,40500,TRUE,Songshan,MRT,KEBUKE,60,No
778,Man,23,engineer,59500,FALSE,Zhongshan,Scooter,50 Arashi,35,No
786,Man,23,engineer,38000,FALSE,Wanhua,Bus,CoCo,35,No
791,Man,23,staff,52500,FALSE,Beitou,Bus,Tenren's Tea,50,No
823,Man,23,staff,55500,FALSE,Wenshan,Scooter,Chunshuitang,50,Yes
834,women,23,service,63500,TRUE,Songshan,Scooter,Guiji,60,No
853,women,23,staff,63000,TRUE,Songshan,Scooter,Wanpo,35,No
870,Man,23,staff,48000,FALSE,Datong,Scooter,Chunshuitang,50,No
873,women,23,service,65500,FALSE,Wenshan,MRT,Chunshuitang,70,Yes
932,Man,23,staff,33000,FALSE,Shilin,MRT,JOHN TEA COMPANY,65,Yes
934,women,23,staff,67500,FALSE,Wenshan,Scooter,Ching-Shin Fu-Chuan,45,No
980,women,23,student,12000,TRUE,Wanhua,Scooter,Wanpo,35,No
983,Man,23,service,29000,FALSE,Beitou,Scooter,WooTea,35,No
986,Man,23,staff,28500,FALSE,Wanhua,Scooter,Chunshuitang,55,Yes
45,women,24,engineer,33000,TRUE,Songshan,MRT,Wanpo,40,Yes
54,Man,24,staff,34000,FALSE,Xinyi,Bus,50 Arashi,60,No
111,women,24,police,55000,FALSE,Zhongzheng,MRT,Wanpo,50,No
136,Man,24,police,56000,FALSE,Shilin,Bus,Chunshuitang,40,Yes
157,Man,24,Freelance,29000,FALSE,Wanhua,drive,Wanpo,65,No
159,Man,24,staff,76000,TRUE,Zhongshan,Scooter,KEBUKE,45,No
161,Man,24,staff,33000,FALSE,Da’an,MRT,Ching-Shin Fu-Chuan,70,No
174,women,24,engineer,62500,TRUE,Xinyi,MRT,TRUEDAN,70,No
211,Man,24,engineer,30000,FALSE,Neihu,Bus,WooTea,60,No
248,women,24,staff,66500,TRUE,Datong,MRT,TRUEDAN,70,No
254,women,24, lawyer,28000,FALSE,Shilin,Bus,Ching-Shin Fu-Chuan,40,No
258,Man,24,service,36000,TRUE,Da’an,MRT,Chunshuitang,40,No
278,women,24,staff,38000,FALSE,Songshan,Scooter,KEBUKE,45,Yes
309,women,24,Market,52500,FALSE,Beitou,MRT,TRUEDAN,55,No
351,women,24, retail,51000,TRUE,Beitou,drive,Tenren's Tea,55,No
360,women,24,financial,64000,FALSE,Wenshan,MRT,TRUEDAN,45,No
367,Man,24,staff,52500,TRUE,Neihu,Scooter,50 Arashi,50,No
387,Man,24,engineer,70000,FALSE,Nangang,Scooter,WooTea,65,No
392,Man,24,sales,65000,FALSE,Shilin,MRT,Tenren's Tea,35,No
477,women,24,Worker,57500,FALSE,Datong,Scooter,Wanpo,55,Yes
497,women,24,financial,28500,FALSE,Zhongzheng,Scooter,Guiji,70,No
526,women,24,staff,64500,FALSE,Neihu,Bus,50 Arashi,65,No
533,Man,24,financial,29500,FALSE,Shilin,MRT,Ching-Shin Fu-Chuan,35,Yes
537,women,24,engineer,41500,FALSE,Datong,MRT,KEBUKE,40,Yes
579,Man,24,staff,59500,FALSE,Wanhua,MRT,Ching-Shin Fu-Chuan,35,No
635,women,24,staff,78000,FALSE,Xinyi,Scooter,JOHN TEA COMPANY,35,No
670,Man,24,service,29500,FALSE,Da’an,Scooter,Wanpo,40,No
689,women,24,financial,47500,TRUE,Neihu,MRT,Ching-Shin Fu-Chuan,45,No
797,Man,24,staff,29500,TRUE,Nangang,Bus,OtherTeaShop,35,No
824,Man,24,financial,51500,FALSE,Neihu,MRT,CoCo,45,Yes
829,Man,24,teacher,40000,TRUE,Songshan,MRT,50 Arashi,60,Yes
835,women,24,staff,49000,FALSE,Zhongzheng,MRT,Ching-Shin Fu-Chuan,60,No
842,Man,24,staff,68500,TRUE,Xinyi,Scooter,KEBUKE,40,Yes
882,women,24,sales,45500,TRUE,Neihu,MRT,OtherTeaShop,40,No
918,Man,24,engineer,62000,FALSE,Wenshan,Scooter,Ching-Shin Fu-Chuan,50,No
924,women,24,sales,56000,FALSE,Neihu,MRT,Chunshuitang,65,No
929,women,24,sales,49000,FALSE,Zhongzheng,drive,Ching-Shin Fu-Chuan,45,Yes
978,Man,24,docter,34500,FALSE,Songshan,MRT,CoCo,70,Yes
44,Man,25,staff,34000,TRUE,Da’an,Bus,50 Arashi,70,No
47,women,25,financial,41500,TRUE,Wanhua,Scooter,Guiji,50,No
63,Man,25,Market,61500,FALSE,Xinyi,MRT,CoCo,40,No
124,Man,25, lawyer,72500,TRUE,Wenshan,Bus,Wanpo,65,No
158,Man,25,engineer,35500,FALSE,Shilin,Bus,CoCo,60,No
198,women,25,Market,60500,TRUE,Neihu,Bus,TRUEDAN,65,Yes
244,Man,25,police,47500,FALSE,Nangang,Scooter,50 Arashi,35,Yes
386,Man,25,staff,66000,FALSE,Songshan,MRT,50 Arashi,55,Yes
410,women,25,staff,67500,TRUE,Wanhua,MRT,TRUEDAN,65,No
439,Man,25,staff,73000,TRUE,Datong,Bus,50 Arashi,50,No
468,women,25,staff,74500,TRUE,Nangang,MRT,Wanpo,45,No
493,women,25,financial,28000,FALSE,Datong,Scooter,KEBUKE,45,No
536,women,25,staff,59500,FALSE,Xinyi,Scooter,50 Arashi,45,Yes
553,Man,25,staff,49500,TRUE,Nangang,MRT,Tenren's Tea,50,Yes
557,Man,25, retail,49500,FALSE,Datong,Scooter,JOHN TEA COMPANY,50,No
566,Man,25,Freelance,24500,TRUE,Xinyi,MRT,Guiji,45,No
580,women,25,service,39500,TRUE,Da’an,Scooter,KEBUKE,65,No
581,Man,25,staff,50000,TRUE,Songshan,MRT,WooTea,40,No
634,women,25,engineer,49500,TRUE,Neihu,Bus,CoCo,40,No
686,Man,25,Worker,60500,TRUE,Da’an,Bus,Chunshuitang,55,No
734,Man,25,teacher,68500,FALSE,Zhongshan,Scooter,WooTea,60,No
793,women,25,financial,59500,FALSE,Nangang,Scooter,TRUEDAN,40,No
828,Man,25,sales,46000,TRUE,Xinyi,MRT,KEBUKE,40,No
844,women,25,sales,41000,FALSE,Beitou,Scooter,Chunshuitang,60,No
854,Man,25,staff,28500,TRUE,Wanhua,Bus,Ching-Shin Fu-Chuan,40,Yes
877,Man,25,staff,31500,TRUE,Neihu,Scooter,50 Arashi,70,No
911,women,25,staff,55500,TRUE,Xinyi,Bus,Chunshuitang,50,No
928,Man,25,staff,51000,TRUE,Datong,Bus,JOHN TEA COMPANY,35,No
982,Man,25,financial,77500,FALSE,Xinyi,Bus,TRUEDAN,50,No
19,Man,26,staff,32500,FALSE,Beitou,Bus,TRUEDAN,35,No
30,Man,26,staff,33500,FALSE,Zhongzheng,Bus,Guiji,55,Yes
35,Man,26, retail,58000,FALSE,Shilin,Bus,TRUEDAN,55,No
43,women,26,staff,63500,TRUE,Nangang,Bus,Ching-Shin Fu-Chuan,35,Yes
132,Man,26,sales,38000,FALSE,Wanhua,Scooter,Chunshuitang,70,No
197,women,26,staff,63000,FALSE,Songshan,MRT,Wanpo,35,Yes
201,Man,26,engineer,31500,FALSE,Datong,Bus,JOHN TEA COMPANY,70,Yes
205,women,26,staff,37500,FALSE,Datong,Bus,KEBUKE,35,No
206,women,26,staff,52000,TRUE,Xinyi,Bus,TRUEDAN,50,No
222,Man,26,Freelance,46000,FALSE,Xinyi,Scooter,WooTea,60,No
246,Man,26,staff,72500,FALSE,Shilin,Bus,KEBUKE,50,Yes
270,women,26,sales,40500,TRUE,Zhongshan,Bus,Chunshuitang,65,No
307,Man,26,teacher,63000,TRUE,Wenshan,MRT,Tenren's Tea,60,No
308,Man,26,staff,42000,FALSE,Neihu,Scooter,JOHN TEA COMPANY,50,No
365,Man,26,service,46000,FALSE,Datong,Bus,TRUEDAN,45,Yes
399,Man,26,staff,40000,FALSE,Wanhua,Bus,JOHN TEA COMPANY,70,No
427,Man,26, retail,37500,FALSE,Xinyi,MRT,Wanpo,60,No
431,Man,26,staff,49000,FALSE,Shilin,MRT,JOHN TEA COMPANY,65,No
440,Man,26,staff,72000,FALSE,Beitou,Scooter,Wanpo,35,No
482,women,26,financial,42000,FALSE,Beitou,MRT,50 Arashi,70,No
534,Man,26,Worker,34500,FALSE,Beitou,Scooter,Guiji,60,No
538,women,26,staff,78000,TRUE,Da’an,drive,Guiji,55,No
622,Man,26,financial,46000,FALSE,Zhongshan,MRT,WooTea,45,Yes
644,women,26,staff,60000,FALSE,Wenshan,MRT,CoCo,70,Yes
676,Man,26,Freelance,29500,FALSE,Neihu,MRT,TRUEDAN,40,No
678,Man,26, retail,46000,TRUE,Nangang,Scooter,50 Arashi,55,Yes
711,women,26,staff,73500,TRUE,Da’an,Scooter,Wanpo,35,Yes
758,women,26,staff,33000,FALSE,Zhongshan,Scooter,JOHN TEA COMPANY,65,No
785,women,26,financial,51000,TRUE,Zhongzheng,Bus,TRUEDAN,55,Yes
803,women,26,staff,58000,FALSE,Da’an,Bus,Chunshuitang,45,No
810,women,26, lawyer,33500,TRUE,Wenshan,Scooter,Ching-Shin Fu-Chuan,35,Yes
815,Man,26,staff,37000,TRUE,Wenshan,MRT,Guiji,45,No
847,women,26, retail,44000,TRUE,Beitou,MRT,KEBUKE,70,No
925,women,26,financial,45000,TRUE,Zhongshan,MRT,KEBUKE,35,No
947,women,26,staff,69000,TRUE,Songshan,Bus,CoCo,35,No
958,women,26,engineer,66500,TRUE,Datong,Scooter,JOHN TEA COMPANY,65,No
81,women,27,staff,56500,TRUE,Nangang,Bus,KEBUKE,40,Yes
120,Man,27,financial,69000,FALSE,Songshan,Scooter,WooTea,50,Yes
122,Man,27,engineer,52000,TRUE,Neihu,drive,Guiji,55,Yes
128,Man,27,sales,56500,FALSE,Zhongzheng,Scooter,Tenren's Tea,35,Yes
188,women,27,sales,48500,TRUE,Beitou,MRT,50 Arashi,55,No
196,women,27,service,56500,FALSE,Da’an,MRT,TRUEDAN,35,No
256,Man,27,staff,41000,TRUE,Nangang,Bus,Guiji,60,Yes
265,Man,27,Worker,43000,TRUE,Datong,Bus,JOHN TEA COMPANY,65,No
266,Man,27,engineer,46500,FALSE,Da’an,Bus,JOHN TEA COMPANY,50,No
280,women,27,service,60500,TRUE,Shilin,MRT,WooTea,40,No
283,Man,27,engineer,72000,FALSE,Wanhua,Scooter,CoCo,55,Yes
329,women,27,engineer,64000,FALSE,Xinyi,MRT,Tenren's Tea,60,Yes
342,women,27,staff,36500,FALSE,Beitou,MRT,OtherTeaShop,55,No
388,women,27,engineer,69000,FALSE,Songshan,Scooter,Chunshuitang,55,Yes
423,women,27,sales,56000,FALSE,Shilin,Scooter,TRUEDAN,55,No
446,Man,27,Market,32000,TRUE,Wenshan,Bus,CoCo,35,No
485,Man,27,service,66500,TRUE,Datong,Bus,Tenren's Tea,35,Yes
488,women,27,staff,49000,TRUE,Da’an,Scooter,KEBUKE,65,No
507,women,27,staff,41500,TRUE,Xinyi,MRT,Tenren's Tea,55,No
552,women,27,service,44000,TRUE,Neihu,Scooter,Tenren's Tea,45,Yes
555,women,27,staff,64000,TRUE,Shilin,Bus,Chunshuitang,70,No
556,women,27,staff,36000,FALSE,Zhongzheng,MRT,JOHN TEA COMPANY,45,Yes
577,Man,27,sales,57000,FALSE,Neihu,Scooter,Ching-Shin Fu-Chuan,50,No
597,women,27,sales,58000,FALSE,Beitou,Scooter,TRUEDAN,35,Yes
600,women,27,Worker,49000,FALSE,Beitou,Scooter,CoCo,45,Yes
626,women,27,staff,63000,TRUE,Nangang,MRT,Guiji,55,No
642,women,27,Freelance,40000,TRUE,Songshan,MRT,OtherTeaShop,55,Yes
657,Man,27,civil servant,56000,TRUE,Nangang,Bus,50 Arashi,60,Yes
710,women,27,sales,65000,FALSE,Shilin,Scooter,WooTea,70,Yes
736,Man,27, lawyer,32000,TRUE,Xinyi,MRT,Tenren's Tea,55,Yes
760,Man,27,staff,56500,TRUE,Beitou,Scooter,Tenren's Tea,40,No
766,women,27,staff,50000,FALSE,Beitou,Scooter,Wanpo,65,No
807,women,27,sales,31000,TRUE,Shilin,Scooter,Wanpo,50,Yes
809,women,27,staff,48000,FALSE,Songshan,Bus,CoCo,45,Yes
866,women,27,staff,44500,TRUE,Nangang,Scooter,JOHN TEA COMPANY,35,No
889,women,27,staff,78500,TRUE,Shilin,Bus,WooTea,40,No
897,Man,27,financial,78500,TRUE,Songshan,Bus,50 Arashi,50,Yes
902,Man,27,Market,46000,FALSE,Shilin,Scooter,OtherTeaShop,65,No
937,Man,27,staff,59000,FALSE,Zhongshan,Bus,CoCo,55,Yes
965,Man,27,engineer,60500,FALSE,Neihu,MRT,CoCo,70,No
967,Man,27,staff,29000,FALSE,Da’an,drive,Chunshuitang,60,Yes
7,women,28,service,46500,FALSE,Wanhua,Bus,Wanpo,65,Yes
8,women,28, retail,70000,TRUE,Da’an,Bus,KEBUKE,60,No
57,Man,28,staff,67000,FALSE,Shilin,MRT,OtherTeaShop,35,No
58,women,28,sales,36000,FALSE,Beitou,Bus,TRUEDAN,50,Yes
64,women,28,staff,69000,FALSE,Datong,Bus,KEBUKE,35,Yes
70,women,28,financial,74000,FALSE,Nangang,Bus,WooTea,65,No
82,Man,28,financial,32000,TRUE,Zhongzheng,MRT,JOHN TEA COMPANY,55,Yes
236,women,28,staff,49000,FALSE,Zhongzheng,Scooter,Ching-Shin Fu-Chuan,70,No
267,women,28,teacher,55500,TRUE,Beitou,MRT,OtherTeaShop,50,Yes
320,Man,28,Market,41500,TRUE,Shilin,MRT,KEBUKE,50,No
346,women,28,engineer,40500,FALSE,Zhongzheng,Scooter,50 Arashi,55,No
391,women,28, lawyer,89000,TRUE,Zhongshan,Bus,CoCo,40,No
406,women,28,staff,46500,FALSE,Wanhua,Scooter,JOHN TEA COMPANY,40,No
411,women,28,staff,30500,FALSE,Zhongshan,Bus,OtherTeaShop,35,No
425,women,28,staff,45000,TRUE,Datong,Bus,Guiji,60,No
447,women,28,engineer,49000,TRUE,Datong,Scooter,Guiji,40,No
450,women,28,staff,67000,TRUE,Songshan,MRT,JOHN TEA COMPANY,45,No
453,Man,28,financial,39000,FALSE,Nangang,Bus,Guiji,45,No
501,women,28,staff,79000,FALSE,Wanhua,Scooter,TRUEDAN,70,No
530,Man,28,financial,49500,TRUE,Datong,MRT,JOHN TEA COMPANY,60,No
531,Man,28,staff,40500,FALSE,Xinyi,MRT,JOHN TEA COMPANY,55,Yes
539,Man,28,staff,59000,FALSE,Datong,Bus,WooTea,50,No
574,Man,28,staff,34000,FALSE,Xinyi,Scooter,50 Arashi,45,Yes
654,Man,28,staff,51500,TRUE,Da’an,Scooter,JOHN TEA COMPANY,40,No
704,Man,28,staff,41000,TRUE,Xinyi,Bus,OtherTeaShop,55,No
709,Man,28,staff,74500,TRUE,Beitou,Bus,OtherTeaShop,65,Yes
720,Man,28,police,61000,TRUE,Wenshan,drive,WooTea,55,Yes
757,Man,28,financial,69000,FALSE,Wenshan,Scooter,OtherTeaShop,45,No
767,Man,28,Worker,61500,TRUE,Beitou,MRT,JOHN TEA COMPANY,45,No
856,women,28,sales,68000,FALSE,Da’an,MRT,50 Arashi,40,Yes
912,Man,28,financial,73500,FALSE,Wenshan,MRT,JOHN TEA COMPANY,50,Yes
948,women,28,staff,74500,FALSE,Beitou,Bus,Chunshuitang,70,No
990,women,28,service,65500,TRUE,Neihu,drive,Wanpo,35,No
996,Man,28,staff,36500,TRUE,Xinyi,Scooter,Wanpo,60,No
997,women,28,sales,41500,TRUE,Shilin,Bus,KEBUKE,40,Yes
38,Man,29,engineer,40000,FALSE,Datong,Scooter,KEBUKE,65,No
61,Man,29,financial,60500,FALSE,Da’an,Scooter,Chunshuitang,45,No
107,Man,29,staff,58500,FALSE,Zhongshan,Bus,CoCo,40,No
112,Man,29,service,56500,FALSE,Shilin,Scooter,50 Arashi,45,Yes
131,Man,29,Freelance,69000,FALSE,Beitou,MRT,Tenren's Tea,55,Yes
142,women,29,police,76000,TRUE,Nangang,Scooter,JOHN TEA COMPANY,45,No
199,Man,29,engineer,69000,TRUE,Zhongzheng,MRT,Chunshuitang,65,Yes
239,Man,29,Worker,56000,TRUE,Datong,Bus,OtherTeaShop,55,No
336,Man,29,Worker,71000,TRUE,Da’an,Bus,Tenren's Tea,65,Yes
352,women,29,staff,39500,TRUE,Wanhua,MRT,Ching-Shin Fu-Chuan,55,No
355,women,29,financial,48000,TRUE,Beitou,Scooter,Ching-Shin Fu-Chuan,65,No
382,women,29,staff,70500,TRUE,Da’an,Scooter,WooTea,45,No
397,Man,29,Market,61500,FALSE,Datong,MRT,Wanpo,55,No
455,Man,29,staff,52500,FALSE,Da’an,MRT,Chunshuitang,70,No
466,women,29,financial,39000,TRUE,Nangang,Scooter,CoCo,65,No
476,Man,29,staff,39500,TRUE,Da’an,MRT,JOHN TEA COMPANY,45,No
509,women,29,service,79000,FALSE,Nangang,Scooter,Ching-Shin Fu-Chuan,40,No
513,women,29,Freelance,45500,FALSE,Datong,Scooter,JOHN TEA COMPANY,40,Yes
521,Man,29,Freelance,61500,TRUE,Beitou,Scooter,KEBUKE,50,Yes
524,women,29,Market,67000,FALSE,Shilin,Bus,Wanpo,45,Yes
588,women,29,sales,51000,TRUE,Xinyi,drive,JOHN TEA COMPANY,70,No
593,Man,29,staff,43500,TRUE,Zhongzheng,MRT,50 Arashi,50,No
