項次,性別,年齡,職業,薪水,婚姻,居住地,交通方式,飲料偏好,價格,外送習慣,,,,,,,,,,,,
798,男,20,自由業,38000,未婚,北投區,捷運,龜記,35,是,,,,,,,,,,,,
885,女,20,服務業,40000,未婚,南港區,公車,五桐號,55,否,,,,,,,,,,,,
919,女,20,服務業,46500,未婚,大同區,公車,清新福全,60,是,,,,,,,,,,,,
921,男,20,職員,35000,未婚,萬華區,騎車,春水堂,40,否,,,,,,,,,,,,
938,男,20,工人,34000,已婚,大安區,公車,可不可,45,否,,,,,,,,,,,,
954,男,20,工程師,42500,未婚,中山區,捷運,50嵐,55,否,,,,,,,,,,,,
957,女,20,職員,29000,未婚,內湖區,公車,其他,40,是,,,,,,,,,,,,
56,男,21,工人,29000,已婚,大安區,騎車,其他,45,是,,,,,,,,,,,,
60,男,21,職員,45000,未婚,文山區,騎車,萬波,45,否,,,,,,,,,,,,
113,男,21,工人,31500,未婚,中正區,公車,約翰紅茶,45,是,,,,,,,,,,,,
123,男,21,學生,19000,未婚,文山區,公車,CoCo都可,70,是,,,,,,,,,,,,
125,男,21,業務,34000,未婚,文山區,騎車,清新福全,45,是,,,,,,,,,,,,
165,男,21,工程師,38500,未婚,萬華區,騎車,其他,60,否,,,,,,,,,,,,
176,女,21,學生,27500,未婚,大同區,公車,五桐號,55,是,,,,,,,,,,,,
194,女,21,服務業,54000,未婚,信義區,開車,五桐號,55,否,,,,,,,,,,,,
208,女,21,職員,29500,未婚,大安區,捷運,五桐號,45,否,,,,,,,,,,,,
210,男,21,職員,32000,已婚,中山區,騎車,CoCo都可,35,否,,,,,,,,,,,,
240,男,21,工程師,45500,已婚,中正區,捷運,春水堂,60,是,,,,,,,,,,,,
255,男,21,金融業,45000,未婚,中山區,開車,龜記,60,否,,,,,,,,,,,,
279,男,21,業務,50000,已婚,士林區,騎車,春水堂,60,否,,,,,,,,,,,,
300,女,21,職員,28500,未婚,北投區,捷運,天仁茗茶,45,否,,,,,,,,,,,,
318,女,21,服務業,33500,已婚,文山區,公車,春水堂,70,否,,,,,,,,,,,,
327,女,21,職員,32000,已婚,信義區,騎車,可不可,70,否,,,,,,,,,,,,
368,女,21,服務業,28500,已婚,文山區,開車,約翰紅茶,70,否,,,,,,,,,,,,
374,女,21,職員,42500,未婚,信義區,騎車,約翰紅茶,60,否,,,,,,,,,,,,
460,男,21,自由業,33000,已婚,萬華區,騎車,龜記,65,否,,,,,,,,,,,,
554,女,21,職員,31500,已婚,中正區,公車,天仁茗茶,60,否,,,,,,,,,,,,
570,男,21,律師,49000,未婚,大同區,捷運,萬波,60,否,,,,,,,,,,,,
604,男,21,職員,34500,已婚,內湖區,公車,春水堂,35,否,,,,,,,,,,,,
613,女,21,業務,34000,未婚,內湖區,騎車,可不可,65,是,,,,,,,,,,,,
647,女,21,工人,35000,已婚,中山區,騎車,清新福全,50,否,,,,,,,,,,,,
674,女,21,職員,65000,未婚,北投區,捷運,清新福全,65,否,,,,,,,,,,,,
715,女,21,零售業,49000,未婚,內湖區,開車,天仁茗茶,50,否,,,,,,,,,,,,
730,女,21,服務業,36000,已婚,士林區,騎車,其他,50,是,,,,,,,,,,,,
742,男,21,職員,46000,已婚,文山區,捷運,清新福全,60,否,,,,,,,,,,,,
789,女,21,工程師,39500,已婚,信義區,騎車,清新福全,45,否,,,,,,,,,,,,
940,女,21,職員,26000,已婚,大同區,公車,CoCo都可,40,是,,,,,,,,,,,,
949,女,21,職員,43000,未婚,中山區,捷運,清新福全,55,否,,,,,,,,,,,,
1000,女,21,工程師,32000,已婚,文山區,捷運,龜記,70,是,,,,,,,,,,,,
48,男,22,業務,49500,已婚,文山區,公車,五桐號,60,是,,,,,,,,,,,,
68,女,22,職員,32500,已婚,南港區,捷運,約翰紅茶,55,否,,,,,,,,,,,,
105,女,22,職員,45500,未婚,中山區,捷運,天仁茗茶,60,否,,,,,,,,,,,,
108,女,22,學生,30000,已婚,文山區,公車,其他,70,是,,,,,,,,,,,,
110,男,22,工程師,32500,未婚,內湖區,捷運,天仁茗茶,50,否,,,,,,,,,,,,
139,女,22,傳統市場,59500,未婚,文山區,公車,可不可,55,否,,,,,,,,,,,,
163,女,22,職員,67500,已婚,信義區,騎車,萬波,45,否,,,,,,,,,,,,
168,男,22,職員,41500,已婚,北投區,捷運,CoCo都可,50,否,,,,,,,,,,,,
207,女,22,金融業,31500,未婚,內湖區,公車,其他,70,否,,,,,,,,,,,,
249,女,22,零售業,48500,未婚,信義區,公車,其他,50,否,,,,,,,,,,,,
262,女,22,金融業,45500,未婚,中山區,騎車,五桐號,45,否,,,,,,,,,,,,
293,男,22,金融業,60500,未婚,文山區,開車,CoCo都可,70,否,,,,,,,,,,,,
340,男,22,職員,33500,未婚,北投區,騎車,珍煮丹,65,否,,,,,,,,,,,,
344,女,22,職員,59000,未婚,大安區,公車,其他,55,否,,,,,,,,,,,,
417,男,22,職員,47000,未婚,信義區,騎車,可不可,55,是,,,,,,,,,,,,
421,男,22,職員,48500,已婚,士林區,開車,清新福全,35,是,,,,,,,,,,,,
432,女,22,傳統市場,59000,未婚,內湖區,捷運,珍煮丹,60,否,,,,,,,,,,,,
433,男,22,工程師,31500,未婚,中山區,捷運,五桐號,70,否,,,,,,,,,,,,
449,女,22,職員,45500,未婚,中山區,騎車,龜記,50,否,,,,,,,,,,,,
499,女,22,職員,35500,已婚,萬華區,開車,五桐號,40,否,,,,,,,,,,,,
511,女,22,金融業,50000,未婚,大同區,騎車,CoCo都可,50,否,,,,,,,,,,,,
565,女,22,自由業,50000,未婚,大安區,公車,天仁茗茶,60,是,,,,,,,,,,,,
606,男,22,工程師,30000,未婚,南港區,公車,萬波,70,否,,,,,,,,,,,,
625,女,22,教師,42000,未婚,南港區,公車,春水堂,35,否,,,,,,,,,,,,
646,女,22,工程師,37000,未婚,士林區,騎車,天仁茗茶,60,是,,,,,,,,,,,,
652,女,22,業務,48000,已婚,大安區,騎車,龜記,65,是,,,,,,,,,,,,
729,女,22,職員,52000,未婚,大同區,騎車,可不可,60,否,,,,,,,,,,,,
738,女,22,警察,34000,已婚,南港區,公車,50嵐,40,否,,,,,,,,,,,,
752,女,22,職員,28500,未婚,大安區,公車,50嵐,70,是,,,,,,,,,,,,
771,男,22,學生,15500,未婚,大同區,公車,龜記,45,是,,,,,,,,,,,,
796,女,22,工程師,40000,已婚,中正區,捷運,約翰紅茶,50,否,,,,,,,,,,,,
848,男,22,律師,34500,未婚,北投區,騎車,珍煮丹,65,是,,,,,,,,,,,,
852,女,22,職員,37000,未婚,大安區,騎車,可不可,70,否,,,,,,,,,,,,
857,女,22,職員,63000,已婚,南港區,騎車,可不可,45,否,,,,,,,,,,,,
862,男,22,學生,24000,未婚,文山區,捷運,龜記,45,否,,,,,,,,,,,,
865,男,22,服務業,21500,未婚,松山區,捷運,珍煮丹,50,否,,,,,,,,,,,,
939,女,22,服務業,42000,未婚,文山區,騎車,龜記,50,是,,,,,,,,,,,,
952,男,22,職員,34500,未婚,北投區,開車,萬波,65,是,,,,,,,,,,,,
961,女,22,職員,34000,未婚,中正區,騎車,五桐號,65,是,,,,,,,,,,,,
33,男,23,職員,35000,未婚,文山區,公車,清新福全,60,否,,,,,,,,,,,,
50,男,23,職員,49000,未婚,士林區,公車,春水堂,45,是,,,,,,,,,,,,
89,男,23,金融業,33500,已婚,士林區,公車,五桐號,70,否,,,,,,,,,,,,
177,男,23,金融業,31000,已婚,中正區,騎車,CoCo都可,60,否,,,,,,,,,,,,
179,女,23,學生,29000,未婚,大同區,公車,萬波,45,否,,,,,,,,,,,,
220,男,23,業務,34000,已婚,中山區,公車,萬波,70,是,,,,,,,,,,,,
234,女,23,職員,36500,未婚,大同區,捷運,五桐號,65,否,,,,,,,,,,,,
276,男,23,職員,53500,未婚,中正區,騎車,天仁茗茶,70,是,,,,,,,,,,,,
383,女,23,工程師,32500,未婚,內湖區,公車,清新福全,45,是,,,,,,,,,,,,
394,女,23,傳統市場,39000,未婚,松山區,騎車,龜記,35,否,,,,,,,,,,,,
407,女,23,職員,31000,未婚,松山區,騎車,春水堂,55,否,,,,,,,,,,,,
415,女,23,職員,40500,未婚,中正區,公車,CoCo都可,50,否,,,,,,,,,,,,
445,男,23,職員,42500,未婚,士林區,捷運,萬波,40,是,,,,,,,,,,,,
451,男,23,工程師,59000,已婚,南港區,捷運,50嵐,40,是,,,,,,,,,,,,
483,男,23,工人,51000,已婚,北投區,捷運,50嵐,35,否,,,,,,,,,,,,
484,男,23,職員,31000,未婚,士林區,捷運,春水堂,65,是,,,,,,,,,,,,
651,女,23,傳統市場,44500,已婚,士林區,騎車,春水堂,65,是,,,,,,,,,,,,
664,女,23,業務,42500,已婚,南港區,公車,珍煮丹,35,是,,,,,,,,,,,,
682,女,23,工人,39000,未婚,內湖區,騎車,CoCo都可,65,是,,,,,,,,,,,,
687,男,23,教師,50000,已婚,信義區,騎車,五桐號,70,否,,,,,,,,,,,,
694,女,23,服務業,36500,未婚,信義區,騎車,其他,65,否,,,,,,,,,,,,
753,女,23,職員,40500,已婚,松山區,捷運,可不可,60,否,,,,,,,,,,,,
778,男,23,工程師,59500,未婚,中山區,騎車,春水堂,35,否,,,,,,,,,,,,
786,男,23,工程師,38000,未婚,萬華區,公車,CoCo都可,35,否,,,,,,,,,,,,
791,男,23,職員,52500,未婚,北投區,公車,天仁茗茶,50,否,,,,,,,,,,,,
823,男,23,職員,55500,未婚,文山區,騎車,50嵐,50,是,,,,,,,,,,,,
834,女,23,服務業,63500,已婚,松山區,騎車,龜記,60,否,,,,,,,,,,,,
853,女,23,職員,63000,已婚,松山區,騎車,萬波,35,否,,,,,,,,,,,,
870,男,23,職員,48000,未婚,大同區,騎車,50嵐,50,否,,,,,,,,,,,,
873,女,23,服務業,65500,未婚,文山區,捷運,50嵐,70,是,,,,,,,,,,,,
932,男,23,職員,33000,未婚,士林區,捷運,約翰紅茶,65,是,,,,,,,,,,,,
934,女,23,職員,67500,未婚,文山區,騎車,清新福全,45,否,,,,,,,,,,,,
980,女,23,學生,12000,已婚,萬華區,騎車,萬波,35,否,,,,,,,,,,,,
983,男,23,服務業,29000,未婚,北投區,騎車,五桐號,35,否,,,,,,,,,,,,
986,男,23,職員,28500,未婚,萬華區,騎車,50嵐,55,是,,,,,,,,,,,,
45,女,24,工程師,33000,已婚,松山區,捷運,萬波,40,是,,,,,,,,,,,,
54,男,24,職員,34000,未婚,信義區,公車,春水堂,60,否,,,,,,,,,,,,
111,女,24,警察,55000,未婚,中正區,捷運,萬波,50,否,,,,,,,,,,,,
136,男,24,警察,56000,未婚,士林區,公車,50嵐,40,是,,,,,,,,,,,,
157,男,24,自由業,29000,未婚,萬華區,開車,萬波,65,否,,,,,,,,,,,,
159,男,24,職員,76000,已婚,中山區,騎車,可不可,45,否,,,,,,,,,,,,
161,男,24,職員,33000,未婚,大安區,捷運,清新福全,70,否,,,,,,,,,,,,
174,女,24,工程師,62500,已婚,信義區,捷運,珍煮丹,70,否,,,,,,,,,,,,
211,男,24,工程師,30000,未婚,內湖區,公車,五桐號,60,否,,,,,,,,,,,,
248,女,24,職員,66500,已婚,大同區,捷運,珍煮丹,70,否,,,,,,,,,,,,
254,女,24,律師,28000,未婚,士林區,公車,清新福全,40,否,,,,,,,,,,,,
258,男,24,服務業,36000,已婚,大安區,捷運,50嵐,40,否,,,,,,,,,,,,
278,女,24,職員,38000,未婚,松山區,騎車,可不可,45,是,,,,,,,,,,,,
309,女,24,傳統市場,52500,未婚,北投區,捷運,珍煮丹,55,否,,,,,,,,,,,,
351,女,24,零售業,51000,已婚,北投區,開車,天仁茗茶,55,否,,,,,,,,,,,,
360,女,24,金融業,64000,未婚,文山區,捷運,珍煮丹,45,否,,,,,,,,,,,,
367,男,24,職員,52500,已婚,內湖區,騎車,春水堂,50,否,,,,,,,,,,,,
387,男,24,工程師,70000,未婚,南港區,騎車,五桐號,65,否,,,,,,,,,,,,
392,男,24,業務,65000,未婚,士林區,捷運,天仁茗茶,35,否,,,,,,,,,,,,
477,女,24,工人,57500,未婚,大同區,騎車,萬波,55,是,,,,,,,,,,,,
497,女,24,金融業,28500,未婚,中正區,騎車,龜記,70,否,,,,,,,,,,,,
526,女,24,職員,64500,未婚,內湖區,公車,春水堂,65,否,,,,,,,,,,,,
533,男,24,金融業,29500,未婚,士林區,捷運,清新福全,35,是,,,,,,,,,,,,
537,女,24,工程師,41500,未婚,大同區,捷運,可不可,40,是,,,,,,,,,,,,
579,男,24,職員,59500,未婚,萬華區,捷運,清新福全,35,否,,,,,,,,,,,,
635,女,24,職員,78000,未婚,信義區,騎車,約翰紅茶,35,否,,,,,,,,,,,,
670,男,24,服務業,29500,未婚,大安區,騎車,萬波,40,否,,,,,,,,,,,,
689,女,24,金融業,47500,已婚,內湖區,捷運,清新福全,45,否,,,,,,,,,,,,
797,男,24,職員,29500,已婚,南港區,公車,其他,35,否,,,,,,,,,,,,
824,男,24,金融業,51500,未婚,內湖區,捷運,CoCo都可,45,是,,,,,,,,,,,,
829,男,24,教師,40000,已婚,松山區,捷運,春水堂,60,是,,,,,,,,,,,,
835,女,24,職員,49000,未婚,中正區,捷運,清新福全,60,否,,,,,,,,,,,,
842,男,24,職員,68500,已婚,信義區,騎車,可不可,40,是,,,,,,,,,,,,
882,女,24,業務,45500,已婚,內湖區,捷運,其他,40,否,,,,,,,,,,,,
918,男,24,工程師,62000,未婚,文山區,騎車,清新福全,50,否,,,,,,,,,,,,
924,女,24,業務,56000,未婚,內湖區,捷運,50嵐,65,否,,,,,,,,,,,,
929,女,24,業務,49000,未婚,中正區,開車,清新福全,45,是,,,,,,,,,,,,
978,男,24,醫生,34500,未婚,松山區,捷運,CoCo都可,70,是,,,,,,,,,,,,
44,男,25,職員,34000,已婚,大安區,公車,春水堂,70,否,,,,,,,,,,,,
47,女,25,金融業,41500,已婚,萬華區,騎車,龜記,50,否,,,,,,,,,,,,
63,男,25,傳統市場,61500,未婚,信義區,捷運,CoCo都可,40,否,,,,,,,,,,,,
124,男,25,律師,72500,已婚,文山區,公車,萬波,65,否,,,,,,,,,,,,
158,男,25,工程師,35500,未婚,士林區,公車,CoCo都可,60,否,,,,,,,,,,,,
198,女,25,傳統市場,60500,已婚,內湖區,公車,珍煮丹,65,是,,,,,,,,,,,,
244,男,25,警察,47500,未婚,南港區,騎車,春水堂,35,是,,,,,,,,,,,,
386,男,25,職員,66000,未婚,松山區,捷運,春水堂,55,是,,,,,,,,,,,,
410,女,25,職員,67500,已婚,萬華區,捷運,珍煮丹,65,否,,,,,,,,,,,,
439,男,25,職員,73000,已婚,大同區,公車,春水堂,50,否,,,,,,,,,,,,
468,女,25,職員,74500,已婚,南港區,捷運,萬波,45,否,,,,,,,,,,,,
493,女,25,金融業,28000,未婚,大同區,騎車,可不可,45,否,,,,,,,,,,,,
536,女,25,職員,59500,未婚,信義區,騎車,春水堂,45,是,,,,,,,,,,,,
553,男,25,職員,49500,已婚,南港區,捷運,天仁茗茶,50,是,,,,,,,,,,,,
557,男,25,零售業,49500,未婚,大同區,騎車,約翰紅茶,50,否,,,,,,,,,,,,
566,男,25,自由業,24500,已婚,信義區,捷運,龜記,45,否,,,,,,,,,,,,
580,女,25,服務業,39500,已婚,大安區,騎車,可不可,65,否,,,,,,,,,,,,
581,男,25,職員,50000,已婚,松山區,捷運,五桐號,40,否,,,,,,,,,,,,
634,女,25,工程師,49500,已婚,內湖區,公車,CoCo都可,40,否,,,,,,,,,,,,
686,男,25,工人,60500,已婚,大安區,公車,50嵐,55,否,,,,,,,,,,,,
734,男,25,教師,68500,未婚,中山區,騎車,五桐號,60,否,,,,,,,,,,,,
793,女,25,金融業,59500,未婚,南港區,騎車,珍煮丹,40,否,,,,,,,,,,,,
828,男,25,業務,46000,已婚,信義區,捷運,可不可,40,否,,,,,,,,,,,,
844,女,25,業務,41000,未婚,北投區,騎車,50嵐,60,否,,,,,,,,,,,,
854,男,25,職員,28500,已婚,萬華區,公車,清新福全,40,是,,,,,,,,,,,,
877,男,25,職員,31500,已婚,內湖區,騎車,春水堂,70,否,,,,,,,,,,,,
911,女,25,職員,55500,已婚,信義區,公車,50嵐,50,否,,,,,,,,,,,,
928,男,25,職員,51000,已婚,大同區,公車,約翰紅茶,35,否,,,,,,,,,,,,
982,男,25,金融業,77500,未婚,信義區,公車,珍煮丹,50,否,,,,,,,,,,,,
19,男,26,職員,32500,未婚,北投區,公車,珍煮丹,35,否,,,,,,,,,,,,
30,男,26,職員,33500,未婚,中正區,公車,龜記,55,是,,,,,,,,,,,,
35,男,26,零售業,58000,未婚,士林區,公車,珍煮丹,55,否,,,,,,,,,,,,
43,女,26,職員,63500,已婚,南港區,公車,清新福全,35,是,,,,,,,,,,,,
132,男,26,業務,38000,未婚,萬華區,騎車,50嵐,70,否,,,,,,,,,,,,
197,女,26,職員,63000,未婚,松山區,捷運,萬波,35,是,,,,,,,,,,,,
201,男,26,工程師,31500,未婚,大同區,公車,約翰紅茶,70,是,,,,,,,,,,,,
205,女,26,職員,37500,未婚,大同區,公車,可不可,35,否,,,,,,,,,,,,
206,女,26,職員,52000,已婚,信義區,公車,珍煮丹,50,否,,,,,,,,,,,,
222,男,26,自由業,46000,未婚,信義區,騎車,五桐號,60,否,,,,,,,,,,,,
246,男,26,職員,72500,未婚,士林區,公車,可不可,50,是,,,,,,,,,,,,
270,女,26,業務,40500,已婚,中山區,公車,50嵐,65,否,,,,,,,,,,,,
307,男,26,教師,63000,已婚,文山區,捷運,天仁茗茶,60,否,,,,,,,,,,,,
308,男,26,職員,42000,未婚,內湖區,騎車,約翰紅茶,50,否,,,,,,,,,,,,
365,男,26,服務業,46000,未婚,大同區,公車,珍煮丹,45,是,,,,,,,,,,,,
399,男,26,職員,40000,未婚,萬華區,公車,約翰紅茶,70,否,,,,,,,,,,,,
427,男,26,零售業,37500,未婚,信義區,捷運,萬波,60,否,,,,,,,,,,,,
431,男,26,職員,49000,未婚,士林區,捷運,約翰紅茶,65,否,,,,,,,,,,,,
440,男,26,職員,72000,未婚,北投區,騎車,萬波,35,否,,,,,,,,,,,,
482,女,26,金融業,42000,未婚,北投區,捷運,春水堂,70,否,,,,,,,,,,,,
534,男,26,工人,34500,未婚,北投區,騎車,龜記,60,否,,,,,,,,,,,,
538,女,26,職員,78000,已婚,大安區,開車,龜記,55,否,,,,,,,,,,,,
622,男,26,金融業,46000,未婚,中山區,捷運,五桐號,45,是,,,,,,,,,,,,
644,女,26,職員,60000,未婚,文山區,捷運,CoCo都可,70,是,,,,,,,,,,,,
676,男,26,自由業,29500,未婚,內湖區,捷運,珍煮丹,40,否,,,,,,,,,,,,
678,男,26,零售業,46000,已婚,南港區,騎車,春水堂,55,是,,,,,,,,,,,,
711,女,26,職員,73500,已婚,大安區,騎車,萬波,35,是,,,,,,,,,,,,
758,女,26,職員,33000,未婚,中山區,騎車,約翰紅茶,65,否,,,,,,,,,,,,
785,女,26,金融業,51000,已婚,中正區,公車,珍煮丹,55,是,,,,,,,,,,,,
803,女,26,職員,58000,未婚,大安區,公車,50嵐,45,否,,,,,,,,,,,,
810,女,26,律師,33500,已婚,文山區,騎車,清新福全,35,是,,,,,,,,,,,,
815,男,26,職員,37000,已婚,文山區,捷運,龜記,45,否,,,,,,,,,,,,
847,女,26,零售業,44000,已婚,北投區,捷運,可不可,70,否,,,,,,,,,,,,
925,女,26,金融業,45000,已婚,中山區,捷運,可不可,35,否,,,,,,,,,,,,
947,女,26,職員,69000,已婚,松山區,公車,CoCo都可,35,否,,,,,,,,,,,,
958,女,26,工程師,66500,已婚,大同區,騎車,約翰紅茶,65,否,,,,,,,,,,,,
81,女,27,職員,56500,已婚,南港區,公車,可不可,40,是,,,,,,,,,,,,
120,男,27,金融業,69000,未婚,松山區,騎車,五桐號,50,是,,,,,,,,,,,,
122,男,27,工程師,52000,已婚,內湖區,開車,龜記,55,是,,,,,,,,,,,,
128,男,27,業務,56500,未婚,中正區,騎車,天仁茗茶,35,是,,,,,,,,,,,,
188,女,27,業務,48500,已婚,北投區,捷運,春水堂,55,否,,,,,,,,,,,,
196,女,27,服務業,56500,未婚,大安區,捷運,珍煮丹,35,否,,,,,,,,,,,,
256,男,27,職員,41000,已婚,南港區,公車,龜記,60,是,,,,,,,,,,,,
265,男,27,工人,43000,已婚,大同區,公車,約翰紅茶,65,否,,,,,,,,,,,,
266,男,27,工程師,46500,未婚,大安區,公車,約翰紅茶,50,否,,,,,,,,,,,,
280,女,27,服務業,60500,已婚,士林區,捷運,五桐號,40,否,,,,,,,,,,,,
283,男,27,工程師,72000,未婚,萬華區,騎車,CoCo都可,55,是,,,,,,,,,,,,
329,女,27,工程師,64000,未婚,信義區,捷運,天仁茗茶,60,是,,,,,,,,,,,,
342,女,27,職員,36500,未婚,北投區,捷運,其他,55,否,,,,,,,,,,,,
388,女,27,工程師,69000,未婚,松山區,騎車,50嵐,55,是,,,,,,,,,,,,
423,女,27,業務,56000,未婚,士林區,騎車,珍煮丹,55,否,,,,,,,,,,,,
446,男,27,傳統市場,32000,已婚,文山區,公車,CoCo都可,35,否,,,,,,,,,,,,
485,男,27,服務業,66500,已婚,大同區,公車,天仁茗茶,35,是,,,,,,,,,,,,
488,女,27,職員,49000,已婚,大安區,騎車,可不可,65,否,,,,,,,,,,,,
507,女,27,職員,41500,已婚,信義區,捷運,天仁茗茶,55,否,,,,,,,,,,,,
552,女,27,服務業,44000,已婚,內湖區,騎車,天仁茗茶,45,是,,,,,,,,,,,,
555,女,27,職員,64000,已婚,士林區,公車,50嵐,70,否,,,,,,,,,,,,
556,女,27,職員,36000,未婚,中正區,捷運,約翰紅茶,45,是,,,,,,,,,,,,
577,男,27,業務,57000,未婚,內湖區,騎車,清新福全,50,否,,,,,,,,,,,,
597,女,27,業務,58000,未婚,北投區,騎車,珍煮丹,35,是,,,,,,,,,,,,
600,女,27,工人,49000,未婚,北投區,騎車,CoCo都可,45,是,,,,,,,,,,,,
626,女,27,職員,63000,已婚,南港區,捷運,龜記,55,否,,,,,,,,,,,,
642,女,27,自由業,40000,已婚,松山區,捷運,其他,55,是,,,,,,,,,,,,
657,男,27,公務員,56000,已婚,南港區,公車,春水堂,60,是,,,,,,,,,,,,
710,女,27,業務,65000,未婚,士林區,騎車,五桐號,70,是,,,,,,,,,,,,
736,男,27,律師,32000,已婚,信義區,捷運,天仁茗茶,55,是,,,,,,,,,,,,
760,男,27,職員,56500,已婚,北投區,騎車,天仁茗茶,40,否,,,,,,,,,,,,
766,女,27,職員,50000,未婚,北投區,騎車,萬波,65,否,,,,,,,,,,,,
807,女,27,業務,31000,已婚,士林區,騎車,萬波,50,是,,,,,,,,,,,,
809,女,27,職員,48000,未婚,松山區,公車,CoCo都可,45,是,,,,,,,,,,,,
866,女,27,職員,44500,已婚,南港區,騎車,約翰紅茶,35,否,,,,,,,,,,,,
889,女,27,職員,78500,已婚,士林區,公車,五桐號,40,否,,,,,,,,,,,,
897,男,27,金融業,78500,已婚,松山區,公車,春水堂,50,是,,,,,,,,,,,,
902,男,27,傳統市場,46000,未婚,士林區,騎車,其他,65,否,,,,,,,,,,,,
937,男,27,職員,59000,未婚,中山區,公車,CoCo都可,55,是,,,,,,,,,,,,
965,男,27,工程師,60500,未婚,內湖區,捷運,CoCo都可,70,否,,,,,,,,,,,,
967,男,27,職員,29000,未婚,大安區,開車,50嵐,60,是,,,,,,,,,,,,
7,女,28,服務業,46500,未婚,萬華區,公車,萬波,65,是,,,,,,,,,,,,
8,女,28,零售業,70000,已婚,大安區,公車,可不可,60,否,,,,,,,,,,,,
57,男,28,職員,67000,未婚,士林區,捷運,其他,35,否,,,,,,,,,,,,
58,女,28,業務,36000,未婚,北投區,公車,珍煮丹,50,是,,,,,,,,,,,,
64,女,28,職員,69000,未婚,大同區,公車,可不可,35,是,,,,,,,,,,,,
70,女,28,金融業,74000,未婚,南港區,公車,五桐號,65,否,,,,,,,,,,,,
82,男,28,金融業,32000,已婚,中正區,捷運,約翰紅茶,55,是,,,,,,,,,,,,
236,女,28,職員,49000,未婚,中正區,騎車,清新福全,70,否,,,,,,,,,,,,
267,女,28,教師,55500,已婚,北投區,捷運,其他,50,是,,,,,,,,,,,,
320,男,28,傳統市場,41500,已婚,士林區,捷運,可不可,50,否,,,,,,,,,,,,
346,女,28,工程師,40500,未婚,中正區,騎車,春水堂,55,否,,,,,,,,,,,,
391,女,28,律師,89000,已婚,中山區,公車,CoCo都可,40,否,,,,,,,,,,,,
406,女,28,職員,46500,未婚,萬華區,騎車,約翰紅茶,40,否,,,,,,,,,,,,
411,女,28,職員,30500,未婚,中山區,公車,其他,35,否,,,,,,,,,,,,
425,女,28,職員,45000,已婚,大同區,公車,龜記,60,否,,,,,,,,,,,,
